202	花巻農学校精神歌	577
203	花椰菜	2428
204	林の底	6404
205	隼人	537
206	茨海小学校	14652
207	『春と修羅』	55779
208	春と修羅　第三集	23233
209	春と修羅　第二集	55367
210	『春と修羅』補遺	7302
211	ひかりの素足	18928
212	秘境	514
213	〔卑屈の友らをいきどほろしく〕	494
214	ビジテリアン大祭	37389
215	〔ひとひははかなくことばをくだし〕	750
216	ひのきとひなげし	4996
217	火の島	378
218	氷河鼠の毛皮	7161
219	病中幻想	427
220	火渡り	408
221	不軽菩薩	514
222	〔二川こゝにて会したり〕	465
223	双子の星	12822
224	二人の役人	5701
225	二人の役人	6714
226	葡萄水	4441
227	フランドン農学校の豚	13183
228	文語詩稿　一百篇	16492
229	文語詩稿　五十篇	8620
230	ペンネンネンネンネン・ネネムの伝記	30400
231	ペンネンノルデはいまはいないよ　太陽にできた黒い棘をとりに行ったよ	1321
232	北守将軍と三人兄弟の医者	11469
233	星めぐりの歌	465
234	ポラーノの広場	47024
235	洞熊学校を卒業した三人	10220
236	ポランの広場	4930
237	マグノリアの木	4112
238	〔ま青きそらの風をふるはし〕	524
239	祭の晩	4604
240	まなづるとダァリヤ	3631
241	〔まひるつとめにまぎらひて〕	455
242	マリヴロンと少女	2743
243	みじかい木ぺん	6174
244	めくらぶどうと虹	3489
245	〔モザイク成り〕	451
246	〔最も親しき友らにさへこれを秘して〕	676
247	〔館は台地のはななれば〕	443
248	柳沢	4029
249	敗れし少年の歌へる	536
250	山男の四月	6487
251	山男の四月	6293
252	やまなし	3451
253	やまなし	3359
254	遊園地工作	506
255	〔夕陽は青めりかの山裾に〕	603
256	〔ゆがみつゝ月は出で〕	468
257	〔雪とひのきの坂上に〕	446
258	雪渡り	7789
259	雪渡り	7768
260	〔弓のごとく〕	378
261	百合を掘る	696
262	楊林	408
263	よく利く薬とえらい薬	4438
264	よだかの星	5993
265	四又の百合	4282
266	ラジュウムの雁	906
267	龍と詩人	2669
268	〔りんごのみきのはひのひかり〕	434
269	〔昤々としてひかれるは〕	500
270	若い木霊	4334
271	〔われかのひとをこととふに〕	417
272	〔われ聴衆に会釈して〕	615
273	〔われはダルケを名乗れるものと〕	527
274	〔われらが書に順ひて〕	538
275	〔われらひとしく丘に立ち〕	503
